bounds[0],bounds[1],bounds[2],bounds[3],coordinates.latitude,coordinates.longitude,country.code,country.id,country.name,datetimeFirst,datetimeFirst.local,datetimeFirst.utc,datetimeLast,datetimeLast.local,datetimeLast.utc,distance,id,instruments[0].id,instruments[0].name,instruments[1].id,instruments[1].name,isMobile,isMonitor,licenses,licenses[0].attribution.name,licenses[0].attribution.url,licenses[0].dateFrom,licenses[0].dateTo,licenses[0].id,licenses[0].name,locality,name,owner.id,owner.name,provider.id,provider.name,sensors[0].id,sensors[0].name,sensors[0].parameter.displayName,sensors[0].parameter.id,sensors[0].parameter.name,sensors[0].parameter.units,sensors[1].id,sensors[1].name,sensors[1].parameter.displayName,sensors[1].parameter.id,sensors[1].parameter.name,sensors[1].parameter.units,sensors[2].id,sensors[2].name,sensors[2].parameter.displayName,sensors[2].parameter.id,sensors[2].parameter.name,sensors[2].parameter.units,sensors[3].id,sensors[3].name,sensors[3].parameter.displayName,sensors[3].parameter.id,sensors[3].parameter.name,sensors[3].parameter.units,sensors[4].id,sensors[4].name,sensors[4].parameter.displayName,sensors[4].parameter.id,sensors[4].parameter.name,sensors[4].parameter.units,sensors[5].id,sensors[5].name,sensors[5].parameter.displayName,sensors[5].parameter.id,sensors[5].parameter.name,sensors[5].parameter.units,sensors[6].id,sensors[6].name,sensors[6].parameter.displayName,sensors[6].parameter.id,sensors[6].parameter.name,sensors[6].parameter.units,sensors[7].id,sensors[7].name,sensors[7].parameter.displayName,sensors[7].parameter.id,sensors[7].parameter.name,sensors[7].parameter.units,timezone
-83.31231,35.48606,-83.31231,35.48606,35.48606,-83.31231,US,155,United States,,2025-04-04T09:14:15-04:00,2025-04-04T13:14:15Z,,2025-07-19T08:06:50-04:00,2025-07-19T12:06:50Z,,3954733,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Yellowhill - Boys Club,9,Clarity,166,Clarity,12679486,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.33419,35.49589,-83.33419,35.49589,35.49589,-83.33419,US,155,United States,,2025-04-04T09:11:35-04:00,2025-04-04T13:11:35Z,,2025-07-19T08:02:10-04:00,2025-07-19T12:02:10Z,,3954734,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Mt Noble,9,Clarity,166,Clarity,12679484,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.31048,35.4985,-83.31048,35.4985,35.4985,-83.31048,US,155,United States,,2025-04-04T09:10:49-04:00,2025-04-04T13:10:49Z,,2025-07-19T08:03:21-04:00,2025-07-19T12:03:21Z,,3954735,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,, Old Cherokee High,9,Clarity,166,Clarity,12679494,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.29913,35.5124,-83.29913,35.5124,35.5124,-83.29913,US,155,United States,,2025-04-04T09:11:41-04:00,2025-04-04T13:11:41Z,,2025-07-19T07:52:46-04:00,2025-07-19T11:52:46Z,,3954736,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Cherokee Central Schools,9,Clarity,166,Clarity,12679492,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.29606,35.51217,-83.29606,35.51217,35.51217,-83.29606,US,155,United States,,2025-04-04T09:06:29-04:00,2025-04-04T13:06:29Z,,2025-07-19T08:05:23-04:00,2025-07-19T12:05:23Z,,3954737,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Cherokee Central Bus Lot,9,Clarity,166,Clarity,12679487,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.30587,35.46903,-83.30587,35.46903,35.46903,-83.30587,US,155,United States,,2025-04-04T09:04:29-04:00,2025-04-04T13:04:29Z,,2025-07-19T07:51:36-04:00,2025-07-19T11:51:36Z,,3954738,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Painttown Casino Intersection,9,Clarity,166,Clarity,12679491,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.16216,35.49775,-83.16216,35.49775,35.49775,-83.16216,US,155,United States,,2025-04-04T09:17:36-04:00,2025-04-04T13:17:36Z,,2025-07-19T08:05:27-04:00,2025-07-19T12:05:27Z,,3954739,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Soco Mt,9,Clarity,166,Clarity,12679489,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.26034,35.5537,-83.26034,35.5537,35.5537,-83.26034,US,155,United States,,2025-04-04T09:01:07-04:00,2025-04-04T13:01:07Z,,2025-07-19T08:03:34-04:00,2025-07-19T12:03:34Z,,3954740,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Big Cove Daycare,9,Clarity,166,Clarity,12679496,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.3101,35.50097,-83.3101,35.50097,35.50097,-83.3101,US,155,United States,,2025-04-04T09:00:28-04:00,2025-04-04T13:00:28Z,,2025-07-19T07:58:23-04:00,2025-07-19T11:58:23Z,,3954741,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,New Kituwah Academy,9,Clarity,166,Clarity,12679490,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.87396,35.30315,-83.87396,35.30315,35.30315,-83.87396,US,155,United States,,2025-04-04T09:15:44-04:00,2025-04-04T13:15:44Z,,2025-07-19T08:06:44-04:00,2025-07-19T12:06:44Z,,3954742,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Snowbird Jacob Cornsilk Building,9,Clarity,166,Clarity,12679493,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.23607,35.52438,-83.23607,35.52438,35.52438,-83.23607,US,155,United States,,2025-04-04T09:15:27-04:00,2025-04-04T13:15:27Z,,2025-07-19T08:06:38-04:00,2025-07-19T12:06:38Z,,3954743,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Barnett Knob - Big Y,9,Clarity,166,Clarity,12679485,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
-83.27879,35.46636,-83.27879,35.46636,35.46636,-83.27879,US,155,United States,,2025-04-04T09:15:15-04:00,2025-04-04T13:15:15Z,,2025-07-19T08:00:42-04:00,2025-07-19T12:00:42Z,,3954744,4,Clarity Sensor,,,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Paint Town,9,Clarity,166,Clarity,12679495,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
