bounds[0],bounds[1],bounds[2],bounds[3],coordinates.latitude,coordinates.longitude,country.code,country.id,country.name,datetimeFirst.local,datetimeFirst.utc,datetimeLast.local,datetimeLast.utc,distance,id,instruments[0].id,instruments[0].name,isMobile,isMonitor,licenses,licenses[0].attribution.name,licenses[0].attribution.url,licenses[0].dateFrom,licenses[0].dateTo,licenses[0].id,licenses[0].name,locality,name,owner.id,owner.name,provider.id,provider.name,sensors[0].id,sensors[0].name,sensors[0].parameter.displayName,sensors[0].parameter.id,sensors[0].parameter.name,sensors[0].parameter.units,sensors[1].id,sensors[1].name,sensors[1].parameter.displayName,sensors[1].parameter.id,sensors[1].parameter.name,sensors[1].parameter.units,sensors[2].id,sensors[2].name,sensors[2].parameter.displayName,sensors[2].parameter.id,sensors[2].parameter.name,sensors[2].parameter.units,sensors[3].id,sensors[3].name,sensors[3].parameter.displayName,sensors[3].parameter.id,sensors[3].parameter.name,sensors[3].parameter.units,sensors[4].id,sensors[4].name,sensors[4].parameter.displayName,sensors[4].parameter.id,sensors[4].parameter.name,sensors[4].parameter.units,sensors[5].id,sensors[5].name,sensors[5].parameter.displayName,sensors[5].parameter.id,sensors[5].parameter.name,sensors[5].parameter.units,timezone
-122.26536,37.81741,-122.26536,37.81741,37.81741,-122.26536,US,155,United States,2025-08-22T11:06:45-07:00,2025-08-22T18:06:45Z,2025-08-25T22:02:01-07:00,2025-08-26T05:02:01Z,,5524309,4,Clarity Sensor,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Street Academy AS,9,Clarity,166,Clarity,13930038,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-122.22445,37.78185,-122.22445,37.78185,37.78185,-122.22445,US,155,United States,2025-08-22T11:06:33-07:00,2025-08-22T18:06:33Z,2025-08-25T22:06:39-07:00,2025-08-26T05:06:39Z,,5524310,4,Clarity Sensor,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Urban Promise Academy MS,9,Clarity,166,Clarity,13930034,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-122.29703,37.80776,-122.29703,37.80776,37.80776,-122.29703,US,155,United States,2025-08-22T11:03:33-07:00,2025-08-22T18:03:33Z,2025-08-25T22:06:37-07:00,2025-08-26T05:06:37Z,,5524311,4,Clarity Sensor,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Prescott ES,9,Clarity,166,Clarity,13930031,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-122.26149,37.81451,-122.26149,37.81451,37.81451,-122.26149,US,155,United States,2025-08-22T11:03:13-07:00,2025-08-22T18:03:13Z,2025-08-25T22:03:28-07:00,2025-08-26T05:03:28Z,,5524312,4,Clarity Sensor,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Westlake MS,9,Clarity,166,Clarity,13930037,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-122.25911,37.84988,-122.25911,37.84988,37.84988,-122.25911,US,155,United States,2025-08-22T11:00:40-07:00,2025-08-22T18:00:40Z,2025-08-25T21:52:45-07:00,2025-08-26T04:52:45Z,,5524313,4,Clarity Sensor,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Peralta ES,9,Clarity,166,Clarity,13930035,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-122.21135,37.83634,-122.21135,37.83634,37.83634,-122.21135,US,155,United States,2025-08-22T11:16:40-07:00,2025-08-22T18:16:40Z,2025-08-25T21:53:46-07:00,2025-08-26T04:53:46Z,,5524314,4,Clarity Sensor,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Thornhill ES,9,Clarity,166,Clarity,13930032,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/Los_Angeles
-82.46918,28.01029,-82.46918,28.01029,28.01029,-82.46918,US,155,United States,2025-08-22T15:57:14-04:00,2025-08-22T19:57:14Z,2025-08-26T01:03:25-04:00,2025-08-26T05:03:25Z,,5524856,4,Clarity Sensor,False,False,,Clarity,,2021-10-20,,38,CC0 1.0,,Sustainable Living Project,9,Clarity,166,Clarity,13930557,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America/New_York
10.394529999681943,63.42922000015579,10.394529999681943,63.42922000015579,63.42922000015579,10.394529999681943,NO,53,Norway,2025-08-22T00:00:00+02:00,2025-08-21T22:00:00Z,2025-08-25T13:00:00+02:00,2025-08-25T11:00:00Z,,5526238,2,Government Monitor,False,True,,Unknown Governmental Organization,,2016-11-17,,10,ODC-BY,Trondheim,Fylkets hus,4,Unknown Governmental Organization,70,EEA,13931331,no2 µg/m³,NO₂ mass,5,no2,µg/m³,13931343,pm10 µg/m³,PM10,1,pm10,µg/m³,13931340,pm25 µg/m³,PM2.5,2,pm25,µg/m³,,,,,,,,,,,,,,,,,,,Europe/Oslo
21.91922400032607,39.36580999988126,21.91922400032607,39.36580999988126,39.36580999988126,21.91922400032607,GR,80,Greece,2025-08-21T05:00:00+03:00,2025-08-21T02:00:00Z,2025-08-26T08:00:00+03:00,2025-08-26T05:00:00Z,,5526239,2,Government Monitor,False,True,,Unknown Governmental Organization,,2016-11-17,,10,ODC-BY,,KARDITSA,4,Unknown Governmental Organization,70,EEA,13931345,co µg/m³,CO mass,4,co,µg/m³,13931349,no2 µg/m³,NO₂ mass,5,no2,µg/m³,13931347,o3 µg/m³,O₃ mass,3,o3,µg/m³,13931337,pm10 µg/m³,PM10,1,pm10,µg/m³,13931350,pm25 µg/m³,PM2.5,2,pm25,µg/m³,13931335,so2 µg/m³,SO₂ mass,6,so2,µg/m³,Europe/Athens
22.39743600004551,39.62728599985668,22.39743600004551,39.62728599985668,39.62728599985668,22.39743600004551,GR,80,Greece,2025-08-21T05:00:00+03:00,2025-08-21T02:00:00Z,2025-08-26T08:00:00+03:00,2025-08-26T05:00:00Z,,5526240,2,Government Monitor,False,True,,Unknown Governmental Organization,,2016-11-17,,10,ODC-BY,,LARISA-3,4,Unknown Governmental Organization,70,EEA,13931348,co µg/m³,CO mass,4,co,µg/m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe/Athens
